Id,Total Earned Credits,Remaining Credits,BIF205,BIF243,BIF244,BIF245,BIF310,BIF375,BIF415,CSC201,CSC206,CSC241,CSC243,CSC245,CSC310,CSC320,CSC322,CSC326,CSC375,CSC412,CSC430,CSC435,CSC443,CSC447,CSC458,CSC460,CSC461,CSC480,CSC490,CSC491,CSC599,CSC615,MTH101,MTH102,MTH201,MTH206,MTH207,MTH301,MTH303,MTH304,MTH305,MTH307,MTH311,MTH401,MTH403,MTH409,STA102,STA205,STA302,CSC243B,CSC245B,CSC498B,CSC498G,CSC498H,CSC498P,CSC498X,CSC599H,CSC498AC,CSC498AD,CSC498AE,CSC498HJ,CSC498HM
stu108,61,61,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,,,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu109,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,,,,Y,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,
stu110,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
stu111,70,52,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,
stu112,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,
stu113,73,49,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,
stu114,52,70,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
stu115,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,,,Y,Y,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
stu116,76,46,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,,,Y,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,
stu117,95,27,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,Y,,,,
stu118,118,4,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,Y,,,,,Y,Y,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,Y,,,
stu119,78,44,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,
